,hora_del_dia,dia_de_la_semana,mes_del_ano,temp_aula,hum_aula,pres_aula,temp_exterior,nubosidad,hum_exterior,vel_viento,elevacion_sol,acimut_sol,calefaccion_encendida,derroche_siguiente_hora
2025-09-19 19:00:00,19,5,9,26.366666666666664,56.99333333333333,1018.5,25.2,64.1,74.0,9.7,-16.115,285.4616666666667,1.0,1
2025-09-19 20:00:00,20,5,9,26.535,57.32,1018.4,25.0,84.4,75.0,7.9,-28.633333333333336,298.7733333333333,1.0,1
2025-09-19 21:00:00,21,5,9,26.535,57.04,1018.5,24.8,46.1,76.0,5.8,-38.02666666666666,312.84666666666664,1.0,1
2025-09-19 22:00:00,22,5,9,26.7,57.355,1018.25,24.3,42.2,79.0,6.5,-45.22,330.53333333333336,1.0,1
2025-09-19 23:00:00,23,5,9,26.78,57.865,1018.0,23.9,48.4,80.0,6.5,-48.973333333333336,352.05,1.0,1
2025-09-20 00:00:00,0,6,9,26.795,58.23,1017.75,23.3,47.7,82.0,6.5,-48.27333333333333,15.013333333333334,1.0,1
2025-09-20 01:00:00,1,6,9,26.74666666666667,58.72,1017.15,22.5,85.9,85.0,7.2,-43.34666666666667,35.39666666666667,1.0,1
2025-09-20 02:00:00,2,6,9,26.71,59.26,1016.7666666666668,22.0,84.4,86.0,7.9,-35.37,51.91333333333333,1.0,1
2025-09-20 03:00:00,3,6,9,26.703333333333333,59.68333333333334,1016.3666666666668,21.5,11.7,87.0,8.3,-25.52333333333333,65.10333333333334,1.0,1
2025-09-20 04:00:00,4,6,9,26.63,59.94,1016.3666666666668,20.9,7.0,89.0,7.2,-14.258333333333333,76.485,1.0,1
2025-09-20 05:00:00,5,6,9,26.5,60.45,1016.3666666666668,20.4,12.5,90.0,9.0,-2.271875,86.640625,1.0,1
2025-09-20 06:00:00,6,6,9,26.555,60.19,1016.45,20.3,24.2,88.0,8.3,6.997307692307691,94.4303846153846,1.0,1
2025-09-20 07:00:00,7,6,9,26.29,60.35,1016.45,21.2,62.5,80.0,8.3,19.01533333333333,105.16733333333332,1.0,1
2025-09-20 08:00:00,8,6,9,26.33,60.47,1016.45,23.9,100.0,67.0,6.5,29.776666666666664,116.67333333333336,1.0,1
2025-09-20 09:00:00,9,6,9,26.53,60.06,1016.3,25.8,100.0,62.0,4.0,39.37133333333334,130.74533333333332,1.0,1
2025-09-20 10:00:00,10,6,9,26.626666666666665,59.696666666666665,1015.8333333333334,27.2,56.2,57.0,6.8,46.836,148.65066666666664,1.0,1
2025-09-20 11:00:00,11,6,9,26.73,59.48,1015.1,28.2,65.6,52.0,9.4,50.81142857142856,170.64466666666667,1.0,1
2025-09-20 12:00:00,12,6,9,26.898,58.922,1014.22,28.3,17.2,54.0,12.6,50.346,194.196,1.0,1
2025-09-20 13:00:00,13,6,9,27.14333333333333,58.18666666666667,1013.4333333333334,29.0,9.4,53.0,16.2,45.468,215.4146666666667,1.0,1
2025-09-20 14:00:00,14,6,9,27.265,57.943333333333335,1012.8666666666668,28.1,30.5,59.0,17.6,37.438,232.40466666666663,1.0,1
2025-09-20 15:00:00,15,6,9,27.4,57.735,1012.2666666666664,27.8,42.2,61.0,15.8,27.518,245.8073333333333,1.0,1
2025-09-20 16:00:00,16,6,9,27.51,57.8,1011.8,27.2,82.8,64.0,13.7,16.584,256.90666666666664,1.0,1
2025-09-20 17:00:00,17,6,9,27.6,58.03,1011.8,26.0,100.0,70.0,13.7,5.305357142857142,266.79571428571427,1.0,1
2025-09-20 18:00:00,18,6,9,27.48333333333333,58.14000000000001,1012.2,25.4,100.0,74.0,12.2,-4.4816666666666665,274.8625,1.0,1
2025-09-20 19:00:00,19,6,9,27.445,58.245,1012.4,24.9,100.0,79.0,9.0,-16.121666666666666,284.92333333333335,1.0,1
2025-09-20 20:00:00,20,6,9,27.31,58.28,1012.6,24.9,100.0,78.0,8.6,-28.676666666666662,298.1766666666667,1.0,1
2025-09-20 21:00:00,21,6,9,27.316666666666663,58.46333333333333,1011.8666666666668,24.8,63.3,78.0,7.6,-38.14333333333334,312.1933333333333,1.0,1
2025-09-20 22:00:00,22,6,9,27.265,58.758,1011.325,24.5,21.9,80.0,6.1,-45.44,329.86,1.0,1
2025-09-20 23:00:00,23,6,9,27.235,59.14666666666667,1011.025,24.1,25.0,81.0,5.0,-49.31999999999999,351.6333333333334,1.0,1
2025-09-21 00:00:00,0,7,9,27.1875,59.64750000000001,1010.375,23.8,17.2,83.0,5.8,-48.653333333333336,15.13,1.0,1
2025-09-21 01:00:00,1,7,9,27.115,60.27,1009.5333333333332,23.6,29.7,84.0,6.8,-43.7,35.63666666666666,1.0,1
2025-09-21 02:00:00,2,7,9,27.06,60.53666666666667,1008.85,23.0,35.2,86.0,5.4,-35.68,52.20333333333334,1.0,1
2025-09-21 03:00:00,3,7,9,26.9,60.98,1008.3666666666668,22.8,36.7,88.0,6.8,-25.80333333333333,65.40333333333332,1.0,1
2025-09-21 04:00:00,4,7,9,26.836666666666662,61.150000000000006,1008.35,22.4,30.5,89.0,6.8,-14.255,77.02166666666666,1.0,1
2025-09-21 05:00:00,5,7,9,26.835,61.31,1008.4,22.0,40.6,89.0,7.2,-2.545333333333333,86.92466666666665,1.0,1
2025-09-21 06:00:00,6,7,9,26.75,61.51333333333333,1008.25,21.6,25.8,90.0,6.8,6.56346153846154,94.56653846153849,1.0,1
2025-09-21 07:00:00,7,7,9,26.8,61.34,1008.25,22.5,71.1,82.0,6.1,18.256666666666668,104.99666666666668,1.0,1
2025-09-21 08:00:00,8,7,9,26.765,61.5425,1008.4,24.7,15.6,70.0,4.0,29.032666666666668,116.418,1.0,1
2025-09-21 09:00:00,9,7,9,26.82,61.44333333333333,1008.2666666666664,26.4,67.2,63.0,4.3,38.662000000000006,130.334,1.0,1
2025-09-21 10:00:00,10,7,9,26.90333333333333,61.4225,1007.9,27.6,98.4,57.0,6.1,46.212,147.98266666666666,1.0,1
2025-09-21 11:00:00,11,7,9,27.155,60.81666666666667,1007.15,26.8,99.2,60.0,9.0,50.419375,170.39625,1.0,1
2025-09-21 12:00:00,12,7,9,27.322000000000003,60.352,1006.325,26.9,93.0,61.0,14.0,49.964666666666666,194.0846666666667,1.0,1
2025-09-21 13:00:00,13,7,9,27.4875,60.59,1005.3666666666668,28.6,79.7,57.0,13.7,45.12266666666667,215.1733333333333,1.0,1
2025-09-21 14:00:00,14,7,9,27.526,60.685,1004.4833333333332,28.0,97.7,60.0,16.9,37.129333333333335,232.10866666666664,1.0,1
2025-09-21 15:00:00,15,7,9,27.430000000000003,61.05666666666667,1003.8,28.4,72.7,56.0,14.4,27.241333333333333,245.498,1.0,1
2025-09-21 16:00:00,16,7,9,27.522,61.25600000000001,1004.025,28.4,36.7,57.0,14.0,16.325333333333337,256.6046666666668,1.0,1
2025-09-21 17:00:00,17,7,9,27.52333333333333,60.873333333333335,1003.8333333333334,27.0,33.6,64.0,13.7,5.121379310344827,266.45206896551724,1.0,1
2025-09-21 18:00:00,18,7,9,27.296666666666667,60.10666666666666,1004.05,25.7,18.7,71.0,14.0,-5.491666666666666,275.1658333333333,1.0,1
2025-09-21 19:00:00,19,7,9,27.32333333333333,59.734,1004.7,28.0,0.8,48.0,24.8,-16.952,285.14,1.0,1
2025-09-21 20:00:00,20,7,9,27.243333333333336,59.620000000000005,1005.72,23.1,64.1,72.0,35.3,-28.723333333333333,297.58,1.0,1
2025-09-21 21:00:00,21,7,9,27.12666666666667,59.5675,1006.4666666666668,23.1,3.9,67.0,37.4,-38.26,311.5433333333333,1.0,1
2025-09-21 22:00:00,22,7,9,27.09,59.355,1006.75,22.5,7.0,60.0,33.5,-45.66,329.1766666666667,1.0,1
2025-09-21 23:00:00,23,7,9,27.04,59.22,1007.15,21.8,1.6,61.0,26.3,-49.66,351.20666666666665,1.0,1
2025-09-22 00:00:00,0,1,9,26.956666666666667,59.0275,1007.6,20.8,17.2,66.0,19.8,-49.03,15.246666666666668,1.0,1
2025-09-22 01:00:00,1,1,9,26.34,58.025,1007.95,20.2,19.5,72.0,14.0,-44.04666666666666,35.876666666666665,1.0,1
2025-09-22 02:00:00,2,1,9,25.72,52.88,1008.15,19.9,38.3,72.0,15.5,-35.99,52.49333333333333,1.0,0
2025-09-22 03:00:00,3,1,9,25.58,49.46,1008.4333333333332,19.5,45.3,62.0,15.8,-26.08,65.71,0.0,0
2025-09-22 04:00:00,4,1,9,25.335,48.465,1008.85,19.0,24.2,54.0,15.5,-14.250000000000002,77.55833333333332,0.0,0
2025-09-22 05:00:00,5,1,9,25.0,46.528,1009.16,18.0,7.8,54.0,13.0,-2.543333333333333,87.43199999999999,0.0,0
2025-09-22 06:00:00,6,1,9,24.41,45.73,1009.7666666666668,16.9,0.8,59.0,10.4,6.562692307692307,95.07576923076924,0.0,0
2025-09-22 07:00:00,7,1,9,24.91,44.90571428571428,1010.58,17.8,0.0,55.0,9.4,18.238,105.53066666666663,0.0,0
2025-09-22 08:00:00,8,1,9,25.02,45.5,1011.1,19.5,0.0,44.0,9.0,28.974666666666668,116.99666666666668,0.0,0
2025-09-22 09:00:00,9,1,9,25.07333333333333,41.96666666666667,1011.0,21.3,0.0,36.0,5.4,38.53733333333333,130.96266666666668,0.0,0
2025-09-22 10:00:00,10,1,9,25.64333333333333,43.50666666666667,1010.5333333333332,23.0,0.0,30.0,6.8,45.98733333333333,148.63733333333332,0.0,0
2025-09-22 11:00:00,11,1,9,26.045,43.65666666666667,1010.0666666666666,24.1,0.0,28.0,10.8,50.04,170.90937499999998,0.0,0
2025-09-22 12:00:00,12,1,9,25.57333333333333,39.50333333333333,1009.4333333333334,25.0,0.0,28.0,16.9,49.58466666666667,193.9753333333333,0.0,0
2025-09-22 13:00:00,13,1,9,24.96,42.605,1009.25,24.8,0.0,30.0,19.1,44.772666666666666,214.93133333333336,0.0,0
2025-09-22 14:00:00,14,1,9,24.96,44.935,1009.1,24.6,0.0,32.0,21.2,36.82,231.814,0.0,0
2025-09-22 15:00:00,15,1,9,24.86,44.785,1008.8,24.2,0.0,35.0,23.8,26.96333333333333,245.1953333333333,0.0,0
2025-09-22 16:00:00,16,1,9,24.975,43.17,1009.0,23.6,0.0,35.0,20.9,16.070666666666668,256.2993333333333,0.0,0
2025-09-22 17:00:00,17,1,9,25.286666666666665,41.73666666666667,1009.35,23.0,0.0,36.0,18.7,4.7572413793103445,266.25689655172414,0.0,0
2025-09-22 18:00:00,18,1,9,25.040000000000003,42.98,1009.7666666666668,22.2,0.0,42.0,15.8,-5.957272727272726,275.0190909090909,0.0,0
2025-09-22 19:00:00,19,1,9,24.83,44.44,1010.4,21.9,0.0,45.0,13.3,-16.956,284.59800000000007,0.0,0
2025-09-22 20:00:00,20,1,9,25.146666666666665,44.05,1010.875,21.5,0.0,48.0,10.4,-28.766666666666666,296.9866666666667,0.0,0
2025-09-22 21:00:00,21,1,9,25.44,43.295,1011.45,21.1,0.0,50.0,9.7,-38.373333333333335,310.8933333333333,0.0,0
2025-09-22 22:00:00,22,1,9,25.38,42.77,1011.6,20.4,0.0,51.0,8.6,-45.876666666666665,328.5,0.0,0
2025-09-22 23:00:00,23,1,9,25.37,42.175,1011.3,19.5,15.6,53.0,10.1,-50.1475,352.545,0.0,1
2025-09-23 00:00:00,0,2,9,25.315,42.005,1011.15,18.9,20.3,53.0,12.6,-49.41333333333333,15.366666666666667,1.0,0
2025-09-23 01:00:00,1,2,9,25.4,41.56,1010.8,18.0,5.5,51.0,16.6,-44.38666666666666,36.126666666666665,0.0,0
2025-09-23 02:00:00,2,2,9,25.3,41.41,1010.7,17.2,3.9,53.0,15.1,-36.29333333333333,52.79,0.0,0
2025-09-23 03:00:00,3,2,9,25.23,41.26,1010.55,16.6,1.6,56.0,11.2,-26.35333333333333,66.01666666666667,0.0,0
2025-09-23 04:00:00,4,2,9,24.86,40.875,1010.65,16.0,2.3,58.0,8.6,-15.691666666666665,76.79,0.0,0
2025-09-23 05:00:00,5,2,9,24.415,40.79,1010.85,15.4,2.3,60.0,8.3,-3.341333333333333,87.29066666666667,0.0,0
2025-09-23 06:00:00,6,2,9,24.115,41.86666666666667,1011.2166666666668,15.0,6.2,62.0,8.6,6.372592592592592,95.42370370370372,0.0,0
2025-09-23 07:00:00,7,2,9,24.79,44.8425,1011.75,17.0,22.7,52.0,10.4,18.22133333333333,106.06933333333336,0.0,0
2025-09-23 08:00:00,8,2,9,24.9725,45.370000000000005,1012.075,19.2,29.7,43.0,10.4,28.915333333333333,117.57533333333336,0.0,0
2025-09-23 09:00:00,9,2,9,24.8,43.60666666666666,1012.1,21.6,1.6,34.0,6.5,38.41133333333333,131.59533333333334,0.0,0
2025-09-23 10:00:00,10,2,9,24.535,40.36,1011.85,23.5,1.6,32.0,7.9,45.760666666666665,149.29333333333332,0.0,0
2025-09-23 11:00:00,11,2,9,24.473333333333333,45.28666666666666,1011.4,24.7,7.0,30.0,8.6,49.696000000000005,170.84333333333336,0.0,0
2025-09-23 12:00:00,12,2,9,24.495,45.985,1010.95,25.4,9.4,27.0,14.8,49.20333333333334,193.86666666666667,0.0,0
2025-09-23 13:00:00,13,2,9,24.41,46.370000000000005,1010.8333333333334,25.5,18.0,27.0,17.3,44.42466666666666,214.69266666666667,0.0,0
2025-09-23 14:00:00,14,2,9,24.375,46.84666666666667,1010.9,24.6,24.2,34.0,19.8,36.51,231.522,0.0,0
2025-09-23 15:00:00,15,2,9,24.39,47.298,1010.85,23.4,9.4,43.0,18.7,26.686000000000003,244.888,0.0,0
2025-09-23 16:00:00,16,2,9,24.53,47.27,1010.9,23.2,1.6,44.0,19.4,15.81133333333334,255.9993333333333,0.0,0
2025-09-23 17:00:00,17,2,9,24.605000000000004,47.26,1011.5333333333332,22.4,4.7,47.0,16.9,4.762068965517241,265.74551724137933,0.0,0
2025-09-23 18:00:00,18,2,9,24.50333333333333,47.285,1012.15,21.7,0.0,50.0,13.0,-5.958181818181819,274.51272727272726,0.0,0
2025-09-23 19:00:00,19,2,9,24.776666666666667,46.673333333333325,1012.6333333333332,21.5,0.0,52.0,11.2,-16.962,284.05800000000005,0.0,0
2025-09-23 20:00:00,20,2,9,25.01333333333333,46.123333333333335,1013.1666666666666,21.0,1.6,55.0,10.4,-28.80666666666667,296.39000000000004,0.0,0
2025-09-23 21:00:00,21,2,9,25.02,45.965,1013.6,20.3,12.5,55.0,9.7,-38.48666666666667,310.24,0.0,0
2025-09-23 22:00:00,22,2,9,24.94,46.175,1014.0,19.7,41.4,56.0,13.0,-46.09333333333333,327.81333333333333,0.0,0
2025-09-23 23:00:00,23,2,9,24.94,46.18,1014.2,19.4,39.8,39.0,20.5,-50.4975,352.08250000000004,0.0,0
2025-09-24 00:00:00,0,3,9,24.4675,45.89666666666667,1014.35,19.1,25.0,30.0,19.1,-49.79333333333333,15.49,0.0,0
2025-09-24 01:00:00,1,3,9,24.465000000000003,44.885000000000005,1014.25,18.3,6.2,34.0,18.0,-44.73333333333333,36.373333333333335,0.0,0
2025-09-24 02:00:00,2,3,9,24.04666666666667,42.52666666666666,1014.0,17.5,6.2,36.0,15.8,-36.60333333333333,53.086666666666666,0.0,0
2025-09-24 03:00:00,3,3,9,23.44,39.94,1014.0,16.8,12.5,37.0,14.0,-26.63,66.32000000000001,0.0,0
2025-09-24 04:00:00,4,3,9,22.96666666666667,37.9,1014.2,16.4,38.3,38.0,13.3,-15.731666666666667,77.28666666666668,0.0,0
2025-09-24 05:00:00,5,3,9,22.512500000000003,37.355,1014.5,16.1,3.9,39.0,13.0,-3.337333333333333,87.79933333333332,0.0,0
2025-09-24 06:00:00,6,3,9,22.915,37.78,1014.9,15.6,16.4,41.0,11.9,6.369999999999998,95.93148148148148,0.0,0
2025-09-24 07:00:00,7,3,9,22.813333333333333,42.8675,1015.22,15.9,31.2,40.0,14.4,18.203333333333333,106.60533333333336,0.0,0
2025-09-24 20:00:00,20,3,9,24.3,47.025000000000006,1014.75,21.0,100.0,58.0,14.0,-28.850000000000005,295.7966666666667,0.0,0
2025-09-24 21:00:00,21,3,9,24.42,46.715,1015.05,20.6,57.0,60.0,13.3,-38.59666666666666,309.59,0.0,0
2025-09-24 22:00:00,22,3,9,24.46,46.43,1015.1,20.1,40.6,62.0,12.2,-46.3,327.1233333333333,0.0,0
2025-09-24 23:00:00,23,3,9,24.51333333333333,46.13666666666666,1014.9,19.6,57.8,64.0,9.4,-50.845,351.6125,0.0,0
2025-09-25 00:00:00,0,4,9,24.49,46.05666666666667,1014.4333333333334,18.9,80.5,64.0,9.0,-50.17,15.613333333333332,0.0,0
2025-09-25 01:00:00,1,4,9,24.47,45.95333333333334,1014.2,18.9,82.8,61.0,10.8,-45.07999999999999,36.623333333333335,0.0,0
2025-09-25 02:00:00,2,4,9,24.37,45.93,1014.2,18.6,100.0,60.0,10.1,-36.91,53.38666666666666,0.0,0
2025-09-25 03:00:00,3,4,9,24.35,46.03,1013.9,18.7,100.0,60.0,10.1,-26.906666666666663,66.63,0.0,0
2025-09-25 04:00:00,4,4,9,24.41,45.6,1014.0,18.9,100.0,59.0,10.4,-15.771666666666668,77.78666666666666,0.0,0
2025-09-25 05:00:00,5,4,9,23.87,46.36333333333334,1014.0666666666666,19.1,97.7,59.0,10.8,-3.65642857142857,88.05357142857142,0.0,0
2025-09-25 06:00:00,6,4,9,24.185,49.29,1014.3,19.0,87.5,60.0,10.8,5.955925925925926,96.0822222222222,0.0,0
2025-09-25 07:00:00,7,4,9,24.455,48.555,1014.5,19.3,8.6,56.0,12.2,17.449333333333335,106.43533333333332,0.0,0
2025-09-25 08:00:00,8,4,9,24.765,47.73,1014.7,20.9,51.6,51.0,13.3,28.11733333333333,117.89866666666668,0.0,0
2025-09-25 09:00:00,9,4,9,24.86,45.15,1014.7,22.3,50.8,48.0,12.2,37.58133333333334,131.80933333333334,0.0,0
2025-09-25 10:00:00,10,4,9,24.89,48.13,1014.35,23.5,38.3,44.0,10.1,44.91666666666666,149.2813333333333,0.0,0
2025-09-25 11:00:00,11,4,9,25.075000000000003,45.28333333333333,1013.85,24.7,82.8,41.0,8.6,48.88466666666667,171.11125,0.0,0
2025-09-25 12:00:00,12,4,9,24.936,43.946000000000005,1013.1,24.5,52.3,42.0,11.9,48.44133333333333,193.6506666666667,0.0,0
2025-09-25 13:00:00,13,4,9,24.466,48.82600000000001,1012.0333333333332,24.6,82.8,45.0,16.2,43.72733333333333,214.2213333333333,0.0,0
2025-09-25 14:00:00,14,4,9,24.39,50.94,1011.5,24.3,28.9,47.0,14.0,35.888000000000005,230.9413333333333,0.0,0
2025-09-25 15:00:00,15,4,9,24.37,50.83,1011.6,24.8,2.3,45.0,18.4,26.128,244.28266666666664,0.0,0
2025-09-25 16:00:00,16,4,9,24.536666666666665,50.39333333333334,1011.9,24.1,6.2,46.0,23.4,14.938125,255.71625,0.0,0
2025-09-25 17:00:00,17,4,9,24.505000000000003,50.255,1012.3,23.0,25.8,50.0,19.4,4.190714285714286,265.21357142857136,0.0,0
2025-09-25 18:00:00,18,4,9,24.4,50.41333333333333,1012.7,22.6,46.9,52.0,17.6,-7.067272727272728,274.40909090909093,0.0,0
2025-09-25 19:00:00,19,4,9,24.34,50.67,1013.3333333333334,22.2,35.9,57.0,14.8,-17.8325,283.7625,0.0,0
2025-09-25 20:00:00,20,4,9,24.570000000000004,50.02,1013.9666666666668,22.0,98.4,57.0,16.2,-28.883333333333336,295.2033333333333,0.0,0
2025-09-25 21:00:00,21,4,9,24.7,49.83,1014.2,21.9,100.0,58.0,14.4,-38.7,308.93333333333334,0.0,0
2025-09-25 22:00:00,22,4,9,24.72,49.76,1014.2,21.5,86.7,61.0,13.7,-46.51,326.43,0.0,0
2025-09-25 23:00:00,23,4,9,24.633333333333336,50.1,1013.9333333333334,20.4,3.9,68.0,12.6,-51.1925,351.1375,0.0,0
2025-09-26 00:00:00,0,5,9,24.67,50.19,1013.9,19.4,7.8,73.0,10.8,-50.55,15.746666666666668,0.0,0
2025-09-26 01:00:00,1,5,9,24.563333333333333,50.38333333333333,1013.45,18.9,10.9,77.0,10.8,-45.42666666666667,36.88,0.0,0
2025-09-26 02:00:00,2,5,9,24.57,50.34,1013.1,18.6,4.7,79.0,11.9,-37.21333333333333,53.69,0.0,0
2025-09-26 03:00:00,3,5,9,24.51,50.54333333333333,1012.9,18.2,2.3,80.0,13.0,-27.176666666666662,66.94,0.0,0
2025-09-26 04:00:00,4,5,9,24.285,50.51,1013.15,17.5,3.1,82.0,10.8,-15.811666666666667,78.28833333333333,0.0,0
2025-09-26 05:00:00,5,5,9,23.675,51.835,1013.4,16.7,1.6,84.0,9.4,-3.656428571428571,88.56285714285715,0.0,0
2025-09-26 06:00:00,6,5,9,24.385,56.34333333333333,1013.6333333333332,16.1,3.9,85.0,9.7,5.952222222222222,96.5896296296296,0.0,0
2025-09-26 07:00:00,7,5,9,24.575,51.94,1014.0,17.1,0.0,76.0,9.0,17.432666666666666,106.97266666666664,0.0,0
2025-09-26 08:00:00,8,5,9,24.79,50.120000000000005,1014.3,19.9,0.8,64.0,7.2,28.05733333333333,118.47466666666668,0.0,0
2025-09-26 09:00:00,9,5,9,24.5175,50.415,1014.1,22.1,0.0,59.0,4.3,37.45133333333333,132.43400000000003,0.0,0
2025-09-26 10:00:00,10,5,9,24.956666666666667,51.24333333333334,1013.7333333333332,23.6,0.0,53.0,4.3,44.687333333333335,149.92533333333333,0.0,0
2025-09-26 11:00:00,11,5,9,24.77333333333333,46.5875,1013.05,24.9,3.1,49.0,7.9,48.542,171.04800000000006,0.0,0
2025-09-26 12:00:00,12,5,9,24.41,47.1075,1012.1666666666666,25.7,12.5,47.0,11.5,48.06133333333333,193.5433333333333,0.0,0
